pm25,visibility,traffic,nox,action
98.0,9.49,48,74.0,1
90.0,10.24,36,52.0,1
84.0,10.68,37,52.0,1
108.0,9.4,39,58.0,1
117.0,8.67,47,71.0,1
135.0,7.67,53,82.0,1
149.0,7.06,63,101.0,1
148.0,7.25,67,116.0,1
147.0,7.01,71,118.0,1
166.0,6.38,77,120.0,1
173.0,6.06,79,120.0,1
184.0,5.95,81,111.0,1
188.0,6.01,85,105.0,1
159.0,6.9,77,96.0,1
142.0,7.41,79,106.0,1
145.0,7.32,85,114.0,1
141.0,7.48,83,103.0,1
140.0,7.71,83,98.0,1
149.0,7.09,81,92.0,1
160.0,7.01,82,95.0,1
167.0,6.9,72,93.0,1
168.0,6.86,80,94.0,1
158.0,7.08,70,107.0,1
163.0,6.54,71,112.0,1
184.0,5.99,81,133.0,1
234.0,5.28,87,148.0,1
273.0,4.48,91,171.0,1
289.0,4.32,84,141.0,1
290.0,4.32,76,121.0,1
302.0,4.16,83,138.0,1
304.0,4.1,80,130.0,1
336.0,3.75,89,148.0,1
334.0,3.77,93,152.0,1
340.0,3.69,100,151.0,1
335.0,3.81,100,151.0,1
299.0,4.08,100,159.0,1
287.0,4.34,100,152.0,1
274.0,4.53,92,142.0,1
252.0,4.8,85,131.0,1
249.0,4.75,100,151.0,1
266.0,4.53,99,148.0,1
263.0,4.67,84,128.0,1
292.0,4.63,72,103.0,1
254.0,4.88,79,112.0,1
248.0,5.0,83,112.0,1
248.0,5.42,64,91.0,1
202.0,6.41,56,64.0,1
174.0,6.28,66,87.0,1
193.0,6.0,64,80.0,1
184.0,7.28,46,44.0,1
136.0,7.56,52,53.0,1
161.0,6.48,71,76.0,1
193.0,5.54,81,90.0,1
293.0,4.28,94,132.0,1
315.0,4.07,100,151.0,1
267.0,4.89,75,108.0,1
232.0,5.32,70,103.0,1
250.0,5.41,69,105.0,1
219.0,5.73,65,98.0,1
176.0,6.2,75,119.0,1
184.0,5.99,81,112.0,1
190.0,5.95,71,100.0,1
189.0,5.89,52,109.0,1
191.0,5.91,62,109.0,1
197.0,5.85,73,103.0,1
201.0,5.86,76,107.0,1
214.0,6.05,74,105.0,1
177.0,6.3,75,103.0,1
188.0,5.87,75,105.0,1
206.0,5.35,81,117.0,1
226.0,5.03,85,125.0,1
252.0,4.54,81,111.0,1
287.0,4.13,80,104.0,1
310.0,3.92,77,89.0,1
331.0,3.73,74,90.0,1
340.0,3.69,72,90.0,1
351.0,3.56,79,107.0,1
370.0,3.41,88,125.0,1
370.0,3.41,90,125.0,1
456.0,2.96,100,164.0,1
427.0,2.99,100,188.0,1
413.0,3.21,100,226.0,1
399.0,3.29,100,200.0,1
398.0,3.29,100,197.0,1
458.0,3.08,100,176.0,1
416.0,3.24,99,148.0,1
108.0,5.76,21,27.0,1
28.0,11.19,10,6.0,0
20.0,11.54,9,5.0,0
12.0,17.96,11,10.0,0
14.0,17.75,14,14.0,0
3.0,27.52,15,18.0,0
11.0,25.64,15,17.0,0
10.0,25.86,14,14.0,0
8.0,26.32,13,11.0,0
15.0,24.79,13,11.0,0
6.0,26.79,12,8.0,0
14.0,25.0,13,10.0,0
12.0,25.42,17,13.0,0
16.0,24.59,14,15.0,0
3.0,27.52,19,25.0,0
23.0,13.57,22,34.0,0
72.0,5.81,33,50.0,0
44.0,12.93,25,33.0,0
44.0,12.93,25,33.0,0
42.0,15.54,29,40.0,0
42.0,15.54,29,40.0,0
13.0,21.28,29,46.0,0
9.0,22.56,27,41.0,0
11.0,22.73,29,42.0,0
15.0,21.74,30,45.0,0
41.0,15.96,30,48.0,0
14.0,21.43,35,64.0,0
34.0,17.86,33,64.0,0
17.0,21.43,32,62.0,0
38.0,16.85,34,58.0,0
26.0,16.85,32,47.0,0
39.0,15.31,34,53.0,0
3.0,20.41,39,56.0,0
11.0,25.64,31,48.0,0
60.0,17.34,30,43.0,0
64.0,14.56,30,43.0,0
60.0,13.57,30,43.0,0
67.0,12.77,32,47.0,0
64.0,13.27,28,42.0,0
52.0,14.93,30,45.0,0
40.0,17.14,31,48.0,0
45.0,16.22,41,63.0,0
54.0,15.31,46,74.0,0
49.0,16.3,50,76.0,0
49.0,16.3,47,77.0,0
64.0,12.88,29,47.0,0
55.0,13.76,28,38.0,0
44.0,15.87,31,36.0,0
40.0,16.13,34,42.0,0
40.0,16.13,36,42.0,0
44.0,15.0,31,38.0,0
24.0,18.18,19,26.0,0
20.0,23.81,30,43.0,0
22.0,20.83,32,47.0,0
76.0,11.76,46,48.0,1
51.0,16.85,41,32.0,0
72.0,11.86,40,45.0,0
74.0,11.72,30,28.0,0
54.0,15.46,23,23.0,0
51.0,16.13,21,21.0,0
50.0,16.04,18,17.0,0
48.0,14.56,22,24.0,0
52.0,14.71,22,24.0,0
78.0,11.63,26,33.0,1
82.0,10.95,33,48.0,1
95.0,10.07,38,58.0,1
104.0,9.35,43,74.0,1
108.0,8.9,51,89.0,1
116.0,8.67,49,85.0,1
122.0,8.29,46,80.0,1
120.0,8.45,45,72.0,1
116.0,8.55,39,62.0,1
117.0,8.77,39,68.0,1
124.0,8.36,36,69.0,1
120.0,8.77,43,70.0,1
102.0,9.74,42,67.0,1
116.0,8.82,55,72.0,1
120.0,8.62,59,75.0,1
125.0,8.33,58,76.0,1
134.0,7.94,55,70.0,1
142.0,7.81,46,64.0,1
133.0,7.77,45,65.0,1
168.0,6.79,49,73.0,1
156.0,6.76,59,96.0,1
181.0,6.25,62,103.0,1
181.0,6.25,63,108.0,1
183.0,6.12,68,119.0,1
188.0,5.94,76,134.0,1
190.0,5.92,71,123.0,1
182.0,6.2,65,112.0,1
184.0,6.25,64,109.0,1
182.0,6.4,61,102.0,1
184.0,6.2,71,118.0,1
159.0,7.01,47,66.0,1
143.0,7.77,43,59.0,1
130.0,7.59,42,60.0,1
114.0,9.09,51,84.0,1
152.0,7.21,45,88.0,1
3.0,27.52,22,34.0,0
3.0,27.52,24,36.0,0
6.0,26.32,31,48.0,0
11.0,18.99,40,70.0,0
126.0,8.24,44,83.0,1
121.0,8.47,40,82.0,1
117.0,8.6,45,81.0,1
54.0,10.87,34,41.0,0
81.0,8.96,38,45.0,1
117.0,7.28,38,45.0,1
87.0,8.45,31,37.0,1
73.0,9.15,29,35.0,0
75.0,8.93,32,39.0,0
79.0,8.52,34,46.0,1
86.0,8.4,40,59.0,1
67.0,10.03,37,57.0,0
64.0,10.07,38,65.0,0
63.0,10.38,40,71.0,0
53.0,11.49,43,79.0,0
53.0,12.05,41,74.0,0
67.0,11.11,49,80.0,0
59.0,12.66,40,64.0,0
62.0,12.2,45,70.0,0
67.0,11.32,53,81.0,0
68.0,11.24,51,81.0,0
73.0,11.32,43,69.0,0
78.0,10.99,45,75.0,1
66.0,11.28,51,76.0,0
68.0,11.67,49,72.0,0
65.0,12.66,42,66.0,0
65.0,11.03,50,71.0,0
100.0,8.57,56,70.0,1
99.0,9.2,51,68.0,1
89.0,9.97,49,68.0,1
90.0,9.01,50,71.0,1
56.0,10.0,29,41.0,0
19.0,8.43,14,14.0,0
14.0,9.65,14,14.0,0
9.0,14.49,11,11.0,0
6.0,19.48,14,16.0,0
11.0,20.27,17,24.0,0
12.0,21.43,18,26.0,0
9.0,23.81,15,19.0,0
5.0,24.39,14,14.0,0
4.0,25.42,13,11.0,0
8.0,25.42,14,13.0,0
6.0,25.64,13,10.0,0
3.0,27.52,12,9.0,0
3.0,27.52,12,9.0,0
3.0,27.52,12,8.0,0
5.0,25.86,13,12.0,0
7.0,25.0,17,18.0,0
4.0,27.03,16,15.0,0
8.0,24.39,16,16.0,0
3.0,26.79,15,13.0,0
3.0,27.03,13,10.0,0
8.0,25.21,13,12.0,0
12.0,22.9,13,10.0,0
20.0,18.75,16,20.0,0
28.0,17.44,16,21.0,0
29.0,16.04,19,26.0,0
34.0,14.85,21,32.0,0
44.0,12.66,31,41.0,0
50.0,11.72,38,63.0,0
65.0,9.52,48,96.0,0
65.0,9.52,48,96.0,0
89.0,8.38,52,98.0,1
80.0,9.06,49,99.0,1
85.0,8.29,51,105.0,1
98.0,7.61,51,104.0,1
157.0,6.61,45,88.0,1
100.0,9.09,47,92.0,1
76.0,10.38,46,88.89,1
76.0,9.97,46,89.0,1
75.0,10.0,46,89.0,0
80.0,9.8,45,85.0,1
93.0,9.15,42,78.0,1
101.0,9.01,42,78.0,1
103.0,9.26,41,75.0,1
109.0,8.55,46,90.0,1
109.0,8.43,46,91.0,1
122.0,7.96,45,88.0,1
121.0,8.29,39,66.0,1
114.0,8.43,41,58.0,1
114.0,8.43,41,58.0,1
113.0,7.94,43,65.0,1
131.0,6.91,53,90.0,1
128.0,6.79,62,114.0,1
113.0,7.48,56,105.0,1
123.0,7.09,66,126.0,1
128.0,6.49,67,129.0,1
133.0,6.51,64,121.0,1
126.0,7.08,62,114.0,1
122.0,6.96,62,113.0,1
128.0,6.45,73,112.0,1
130.0,6.86,70,103.0,1
116.0,8.15,64,90.0,1
112.0,8.43,63,87.0,1
123.0,8.02,62,87.0,1
132.0,6.99,80,98.0,1
172.0,5.7,74,106.0,1
186.0,5.28,78,117.0,1
213.0,4.96,69,104.0,1
204.0,5.42,55,87.0,1
215.0,5.28,56,79.0,1
214.0,5.36,50,77.0,1
213.0,5.23,53,81.0,1
217.0,5.13,59,88.0,1
204.0,5.29,65,108.0,1
207.0,5.09,74,115.0,1
207.0,5.09,54,115.0,1
242.0,4.4,95,141.0,1
240.0,4.29,98,144.0,1
242.0,4.51,98,145.0,1
245.0,4.29,97,141.0,1
246.0,4.27,97,142.0,1
240.0,4.51,67,105.0,1
151.0,5.92,60,92.0,1
146.0,5.88,57,87.0,1
181.0,5.65,69,95.0,1
215.0,5.22,74,96.0,1
214.0,5.13,77,93.0,1
226.0,4.78,81,91.0,1
181.0,5.58,71,95.0,1
161.0,6.3,52,79.0,1
186.0,5.61,53,77.0,1
176.0,6.0,57,87.0,1
84.0,10.91,32,50.0,1
18.0,16.48,12,13.0,0
18.0,16.48,12,13.0,0
13.0,17.14,11,11.0,0
12.0,18.07,21,10.0,0
9.0,17.75,10,8.0,0
10.0,19.74,11,9.0,0
8.0,22.06,16,21.0,0
10.0,20.98,14,16.0,0
8.0,22.9,13,15.0,0
11.0,23.26,14,19.0,0
11.0,23.26,15,19.0,0
10.0,22.9,14,20.0,0
10.0,22.73,14,20.0,0
10.0,21.43,19,29.0,0
8.0,22.56,16,25.0,0
8.0,22.56,16,25.0,0
9.0,23.62,15,24.0,0
8.0,23.81,17,25.0,0
8.0,23.08,23,37.0,0
7.0,23.08,29,47.0,0
7.0,23.08,26,47.0,0
10.0,22.9,26,41.0,0
18.0,20.41,23,37.0,0
17.0,19.61,21,31.0,0
14.0,17.14,16,22.0,0
13.0,21.13,13,12.0,0
12.0,23.62,13,12.0,0
14.0,22.22,14,15.0,0
10.0,23.62,14,15.0,0
10.0,23.62,17,15.0,0
89.0,7.94,35,50.0,1
103.0,8.09,41,59.0,1
105.0,7.96,45,72.0,1
102.0,8.38,50,83.0,1
114.0,8.11,55,83.0,1
87.0,8.7,66,122.0,1
56.0,12.3,58,102.0,0
58.0,12.15,48,91.0,0
44.0,10.99,48,97.0,0
37.0,12.82,47,98.0,0
37.0,12.82,45,82.0,0
26.0,15.79,48,82.0,0
69.0,10.49,52,88.0,0
64.0,10.87,50,82.0,0
68.0,10.31,56,84.0,0
69.0,10.27,45,85.0,0
64.0,11.95,58,76.0,0
61.0,11.86,53,65.0,0
71.0,10.99,49,62.0,0
86.0,9.49,55,71.0,1
106.0,8.5,61,86.0,1
90.0,9.09,48,71.0,1
69.0,11.41,31,49.0,0
67.0,11.67,38,58.0,0
84.0,9.43,55,101.0,1
94.0,8.38,64,120.0,1
70.0,8.55,51,96.0,0
60.0,11.15,49,90.0,0
54.0,12.2,48,90.0,0
54.0,12.2,51,90.0,0
46.0,13.76,39,66.0,0
49.0,14.29,34,57.0,0
49.0,13.95,40,60.0,0
60.0,11.72,62,83.0,0
26.0,13.33,62,77.0,0
38.0,12.35,70,88.0,0
33.0,12.99,67,80.0,0
31.0,13.7,65,71.0,0
35.0,12.61,61,61.0,0
38.0,11.67,61,61.0,0
38.0,11.67,61,61.0,0
43.0,11.07,63,72.0,0
50.0,10.53,59,68.0,0
98.0,9.17,50,57.0,1
98.0,9.17,49,57.0,1
101.0,9.04,38,44.0,1
90.0,9.93,28,39.0,1
86.0,10.27,28,44.0,1
86.0,10.34,34,58.0,1
99.0,9.35,39,74.0,1
99.0,9.35,39,74.0,1
102.0,9.87,40,70.0,1
108.0,9.2,50,97.0,1
104.0,9.49,49,89.0,1
112.0,8.88,55,96.0,1
114.0,8.96,55,92.0,1
117.0,8.82,55,86.0,1
124.0,8.43,53,80.0,1
132.0,8.0,52,78.0,1
127.0,8.2,49,73.0,1
136.0,7.81,49,72.0,1
136.0,7.81,47,72.0,1
153.0,7.01,46,70.0,1
153.0,7.01,46,70.0,1
175.0,6.29,51,74.0,1
200.0,5.78,51,76.0,1
190.0,5.83,53,77.0,1
204.0,5.4,55,82.0,1
213.0,5.28,53,81.0,1
211.0,5.4,51,80.0,1
212.0,5.4,53,85.0,1
212.0,5.4,56,85.0,1
220.0,5.15,60,91.0,1
223.0,5.18,63,101.0,1
228.0,5.03,65,98.0,1
231.0,5.08,66,101.0,1
226.0,5.26,69,99.0,1
227.0,5.26,71,92.0,1
232.0,5.17,78,98.0,1
232.0,5.16,49,99.0,1
238.0,5.19,77,95.0,1
238.0,5.19,76,95.0,1
233.0,5.13,77,96.0,1
233.0,5.13,82,96.0,1
226.0,5.25,83,97.0,1
39.0,19.23,28,37.0,0
12.0,17.05,14,19.0,0
18.0,12.82,12,14.0,0
16.0,20.55,14,13.0,0
23.0,17.96,15,14.0,0
40.0,7.35,15,12.0,0
27.0,13.7,14,10.0,0
28.0,14.22,15,11.0,0
28.0,14.22,15,11.0,0
24.0,16.39,15,14.0,0
20.0,21.28,18,16.0,0
24.0,18.87,19,19.0,0
25.0,19.61,25,44.0,0
32.0,17.14,35,66.0,0
18.0,21.58,29,50.0,0
18.0,21.58,27,50.0,0
12.0,24.19,19,31.0,0
15.0,20.69,38,81.0,0
20.0,16.57,37,77.0,0
20.0,16.57,42,77.0,0
41.0,13.51,45,97.0,0
70.0,8.62,56,96.0,0
86.0,8.22,61,92.0,1
46.0,16.13,51,80.0,0
37.0,13.16,47,72.0,0
37.0,13.16,50,72.0,0
149.0,6.11,45,87.0,1
161.0,6.98,54,62.0,1
139.0,7.89,45,51.0,1
134.0,7.77,40,41.0,1
144.0,7.13,39,35.0,1
130.0,7.71,33,34.0,1
124.0,6.85,37,39.0,1
140.0,6.25,44,46.0,1
130.0,6.9,43,53.0,1
110.0,7.54,43,65.0,1
114.0,7.37,46,80.0,1
114.0,7.37,46,80.0,1
126.0,6.98,54,94.0,1
138.0,6.33,65,118.0,1
138.0,6.33,78,138.0,1
146.0,6.25,81,128.0,1
146.0,6.25,74,128.0,1
145.0,6.96,73,117.0,1
145.0,6.96,78,117.0,1
136.0,7.35,79,110.0,1
135.0,7.28,80,118.0,1
138.0,6.91,75,115.0,1
142.0,6.49,60,92.0,1
141.0,6.52,58,92.0,1
135.0,7.03,64,96.0,1
135.0,7.03,55,96.0,1
114.0,7.35,42,66.0,1
145.0,6.55,41,54.0,1
168.0,5.78,48,56.0,1
203.0,4.79,77,80.0,1
178.0,4.9,63,65.0,1
113.0,7.09,39,48.0,1
113.0,7.09,34,48.0,1
57.0,9.74,34,52.0,0
46.0,11.28,35,61.0,0
47.0,11.41,36,70.0,0
47.0,11.41,36,70.0,0
38.0,15.38,31,52.0,0
38.0,15.38,31,52.0,0
37.0,12.55,45,92.0,0
33.0,15.54,34,63.0,0
28.0,17.75,31,48.0,0
27.0,18.99,31,36.0,0
27.0,18.99,29,36.0,0
33.0,15.08,34,51.0,0
33.0,15.71,39,46.0,0
39.0,14.29,45,55.0,0
48.0,11.95,53,66.0,0
61.0,10.95,61,76.0,0
60.0,10.95,64,80.0,0
65.0,10.75,65,83.0,0
65.0,10.75,67,83.0,0
80.0,9.32,79,101.0,1
78.0,9.01,78,104.0,1
73.0,9.04,74,107.0,0
76.0,10.1,76,106.0,1
76.0,10.1,77,106.0,1
84.0,10.64,80,110.0,1
86.0,10.6,82,110.0,1
86.0,10.6,80,110.0,1
84.0,10.68,73,97.0,1
89.0,10.42,63,81.0,1
89.0,10.42,60,81.0,1
90.0,10.45,58,76.0,1
88.0,10.56,58,80.0,1
88.0,10.56,58,80.0,1
112.0,10.14,58,77.0,1
110.0,10.42,56,71.0,1
110.0,10.34,60,71.0,1
105.0,10.45,57,61.0,1
91.0,10.49,62,74.0,1
102.0,9.68,63,75.0,1
102.0,9.68,61,75.0,1
115.0,9.06,36,74.0,1
3.0,27.52,16,20.0,0
3.0,27.52,14,20.0,0
15.0,23.08,13,16.0,0
15.0,24.79,13,16.0,0
13.0,20.98,12,14.0,0
13.0,20.98,11,14.0,0
18.0,18.87,11,11.0,0
3.0,27.03,13,15.0,0
11.0,25.0,10,11.0,0
11.0,25.64,10,11.0,0
3.0,27.52,9,8.0,0
3.0,27.52,11,9.0,0
3.0,27.52,11,11.0,0
3.0,27.52,11,14.0,0
3.0,27.52,11,10.0,0
9.0,23.26,29,36.0,0
8.0,24.59,22,40.0,0
10.0,22.56,39,72.0,0
13.0,22.73,42,72.0,0
15.0,19.87,50,83.0,0
22.0,17.24,41,79.0,0
11.0,24.0,33,65.0,0
13.0,22.9,24,46.0,0
4.0,27.27,17,25.0,0
17.0,22.22,12,14.0,0
3.0,27.52,12,8.0,0
11.0,24.39,12,9.0,0
3.0,27.52,13,11.0,0
3.0,26.09,12,13.0,0
14.0,23.81,11,11.0,0
3.0,26.09,13,11.0,0
20.0,17.86,16,21.0,0
25.0,15.62,21,32.0,0
40.0,11.95,29,56.0,0
40.0,12.3,30,56.0,0
52.0,11.72,36,69.0,0
52.0,10.56,44,95.0,0
64.0,9.58,49,103.0,0
59.0,10.87,43,91.0,0
68.0,10.27,45,91.0,0
68.0,10.27,45,91.0,0
74.0,9.65,51,91.0,0
77.0,8.85,52,93.0,1
65.0,10.17,78,91.0,0
86.0,9.23,78,88.0,1
92.0,9.09,68,81.0,1
79.0,10.42,62,73.0,1
95.0,9.43,54,74.0,1
93.0,9.68,52,72.0,1
99.0,9.62,49,74.0,1
107.0,9.2,45,70.0,1
128.0,8.4,45,72.0,1
134.0,7.94,47,72.0,1
127.0,8.15,45,72.0,1
133.0,7.75,49,79.0,1
109.0,7.01,56,106.0,1
92.0,8.75,46,86.0,1
94.0,8.57,44,79.0,1
76.0,9.74,30,43.0,1
76.0,9.74,28,43.0,1
61.0,12.77,33,50.0,0
61.0,12.5,40,72.0,0
60.0,13.04,42,76.0,0
59.0,13.51,35,77.0,0
46.0,7.87,18,31.0,0
39.0,8.0,12,12.0,0
35.0,10.42,13,12.0,0
29.0,12.88,12,9.0,0
17.0,13.57,14,13.0,0
16.0,13.64,14,13.0,0
18.0,12.3,14,14.0,0
18.0,10.83,11,10.0,0
16.0,13.27,11,11.0,0
16.0,13.33,11,10.0,0
15.0,13.95,11,9.0,0
14.0,14.71,11,9.0,0
8.0,11.67,12,14.0,0
8.0,11.67,12,14.0,0
19.0,11.07,14,14.0,0
19.0,10.38,14,16.0,0
20.0,10.1,15,18.0,0
18.0,11.19,14,16.0,0
18.0,11.58,14,14.0,0
