district,pm25,nox,visibility,traffic,condition,city,country,year,month,day,hour
Residential District,4.0,54.0,25.42,31,Clear,"Dongsi, Beijing",China,2013,3,2,11
Residential District,17.0,61.0,21.58,40,Clear,"Dongsi, Beijing",China,2013,3,2,12
Residential District,23.0,54.0,19.74,33,Clear,"Dongsi, Beijing",China,2013,3,2,13
Residential District,32.0,48.0,18.07,30,Clear,"Dongsi, Beijing",China,2013,3,2,14
Residential District,35.0,49.0,17.44,33,Clear,"Dongsi, Beijing",China,2013,3,2,15
Residential District,42.0,60.0,15.46,43,Clear,"Dongsi, Beijing",China,2013,3,2,16
Residential District,54.0,62.0,13.45,41,Clear,"Dongsi, Beijing",China,2013,3,2,17
Residential District,56.0,63.0,12.61,41,Clear,"Dongsi, Beijing",China,2013,3,2,18
Residential District,63.0,72.0,11.76,45,Clear,"Dongsi, Beijing",China,2013,3,2,19
Residential District,71.0,80.0,11.15,59,Clear,"Dongsi, Beijing",China,2013,3,2,20
Residential District,79.0,95.0,10.34,62,Clear,"Dongsi, Beijing",China,2013,3,2,21
Residential District,98.0,112.0,9.4,76,Cold,"Dongsi, Beijing",China,2013,3,2,22
Residential District,108.0,110.0,8.85,80,Cold,"Dongsi, Beijing",China,2013,3,2,23
Residential District,115.0,111.0,8.43,82,Cold,"Dongsi, Beijing",China,2013,3,3,0
Residential District,127.0,109.0,7.92,80,Cold,"Dongsi, Beijing",China,2013,3,3,1
Residential District,132.0,107.0,7.83,76,Cold,"Dongsi, Beijing",China,2013,3,3,2
Residential District,124.0,104.0,8.4,75,Cold,"Dongsi, Beijing",China,2013,3,3,3
Residential District,112.0,105.0,9.09,75,Cold,"Dongsi, Beijing",China,2013,3,3,4
Residential District,101.0,99.0,9.74,72,Cold,"Dongsi, Beijing",China,2013,3,3,5
Residential District,88.0,94.0,10.24,74,Cold,"Dongsi, Beijing",China,2013,3,3,6
Residential District,98.0,100.0,9.65,82,Cold,"Dongsi, Beijing",China,2013,3,3,7
Residential District,97.0,95.0,9.35,79,Clear,"Dongsi, Beijing",China,2013,3,3,8
Residential District,95.0,95.0,9.68,72,Clear,"Dongsi, Beijing",China,2013,3,3,9
Residential District,91.0,98.0,9.9,70,Clear,"Dongsi, Beijing",China,2013,3,3,10
Residential District,98.0,104.0,9.35,77,Clear,"Dongsi, Beijing",China,2013,3,3,11
Residential District,107.0,111.0,8.8,81,Clear,"Dongsi, Beijing",China,2013,3,3,12
Residential District,114.0,85.0,8.72,59,Clear,"Dongsi, Beijing",China,2013,3,3,13
Residential District,81.0,46.0,10.53,34,Windy,"Dongsi, Beijing",China,2013,3,3,14
Residential District,49.0,17.0,13.1,16,Windy,"Dongsi, Beijing",China,2013,3,3,15
Residential District,28.0,33.0,15.46,25,Clear,"Dongsi, Beijing",China,2013,3,3,16
Residential District,41.0,60.0,12.15,38,Clear,"Dongsi, Beijing",China,2013,3,3,17
Residential District,58.0,74.0,11.36,46,Clear,"Dongsi, Beijing",China,2013,3,3,18
Residential District,87.0,127.0,7.52,76,Clear,"Dongsi, Beijing",China,2013,3,3,19
Residential District,142.0,136.0,5.81,84,Clear,"Dongsi, Beijing",China,2013,3,3,20
Residential District,152.0,122.0,6.61,81,Clear,"Dongsi, Beijing",China,2013,3,3,21
Residential District,143.0,107.0,7.65,74,Clear,"Dongsi, Beijing",China,2013,3,3,22
Residential District,80.0,104.0,10.68,85,Clear,"Dongsi, Beijing",China,2013,3,3,23
Residential District,68.0,109.0,10.79,87,Windy,"Dongsi, Beijing",China,2013,3,4,0
Residential District,61.0,58.0,12.0,36,Clear,"Dongsi, Beijing",China,2013,3,4,1
Residential District,43.0,20.12,15.71,26,Clear,"Dongsi, Beijing",China,2013,3,4,2
Residential District,13.0,14.0,22.73,14,Clear,"Dongsi, Beijing",China,2013,3,4,3
Residential District,6.0,28.0,25.21,20,Clear,"Dongsi, Beijing",China,2013,3,4,4
Residential District,7.0,48.0,23.81,28,Clear,"Dongsi, Beijing",China,2013,3,4,5
Residential District,9.0,61.0,22.73,35,Clear,"Dongsi, Beijing",China,2013,3,4,6
Residential District,10.0,82.0,21.28,44,Clear,"Dongsi, Beijing",China,2013,3,4,7
Residential District,11.0,76.0,20.69,45,Clear,"Dongsi, Beijing",China,2013,3,4,8
Residential District,15.0,40.0,21.43,27,Clear,"Dongsi, Beijing",China,2013,3,4,9
Residential District,3.0,30.0,27.27,22,Clear,"Dongsi, Beijing",China,2013,3,4,10
Residential District,13.0,25.0,23.44,19,Clear,"Dongsi, Beijing",China,2013,3,4,11
Residential District,13.0,21.0,22.56,18,Clear,"Dongsi, Beijing",China,2013,3,4,12
Residential District,3.0,18.0,26.79,17,Clear,"Dongsi, Beijing",China,2013,3,4,13
Residential District,3.0,18.0,27.52,17,Clear,"Dongsi, Beijing",China,2013,3,4,14
Residential District,4.0,23.0,26.32,18,Clear,"Dongsi, Beijing",China,2013,3,4,15
Residential District,18.0,31.0,22.06,23,Clear,"Dongsi, Beijing",China,2013,3,4,16
Residential District,17.0,33.0,21.28,23,Clear,"Dongsi, Beijing",China,2013,3,4,17
Residential District,20.0,35.0,20.13,24,Clear,"Dongsi, Beijing",China,2013,3,4,18
Residential District,31.0,53.0,15.71,31,Clear,"Dongsi, Beijing",China,2013,3,4,19
Residential District,39.0,68.0,13.33,41,Clear,"Dongsi, Beijing",China,2013,3,4,20
Residential District,51.0,75.0,12.3,45,Clear,"Dongsi, Beijing",China,2013,3,4,21
Residential District,59.0,86.0,11.67,48,Clear,"Dongsi, Beijing",China,2013,3,4,22
Residential District,66.0,92.0,11.49,53,Clear,"Dongsi, Beijing",China,2013,3,4,23
Residential District,74.0,84.0,11.11,51,Clear,"Dongsi, Beijing",China,2013,3,5,0
Residential District,89.0,76.0,9.84,50,Clear,"Dongsi, Beijing",China,2013,3,5,1
Residential District,95.0,71.0,9.15,48,Clear,"Dongsi, Beijing",China,2013,3,5,2
Residential District,104.0,78.0,8.82,44,Clear,"Dongsi, Beijing",China,2013,3,5,3
Residential District,131.0,94.0,7.96,67,Clear,"Dongsi, Beijing",China,2013,3,5,5
Residential District,123.0,104.0,8.43,80,Cold,"Dongsi, Beijing",China,2013,3,5,6
Residential District,106.0,102.0,8.7,84,Clear,"Dongsi, Beijing",China,2013,3,5,7
Residential District,107.0,97.0,8.4,83,Clear,"Dongsi, Beijing",China,2013,3,5,8
Residential District,117.0,106.0,7.85,81,Clear,"Dongsi, Beijing",China,2013,3,5,9
Residential District,131.0,114.0,7.37,82,Clear,"Dongsi, Beijing",China,2013,3,5,10
Residential District,141.0,126.0,7.18,85,Clear,"Dongsi, Beijing",China,2013,3,5,11
Residential District,153.0,143.0,6.77,92,Clear,"Dongsi, Beijing",China,2013,3,5,12
Residential District,169.0,152.0,6.42,91,Clear,"Dongsi, Beijing",China,2013,3,5,13
Residential District,169.0,170.0,6.67,93,Clear,"Dongsi, Beijing",China,2013,3,5,14
Residential District,174.0,204.0,6.36,100,Clear,"Dongsi, Beijing",China,2013,3,5,15
Residential District,194.0,205.0,5.83,100,Clear,"Dongsi, Beijing",China,2013,3,5,16
Residential District,208.0,189.0,5.44,90,Clear,"Dongsi, Beijing",China,2013,3,5,17
Residential District,213.0,170.0,5.34,83,Clear,"Dongsi, Beijing",China,2013,3,5,18
Residential District,203.0,187.0,5.57,88,Clear,"Dongsi, Beijing",China,2013,3,5,19
Residential District,209.0,185.0,5.46,91,Clear,"Dongsi, Beijing",China,2013,3,5,20
Residential District,222.0,188.0,5.24,98,Clear,"Dongsi, Beijing",China,2013,3,5,21
Residential District,228.0,184.0,5.24,100,Clear,"Dongsi, Beijing",China,2013,3,5,22
Residential District,227.0,192.0,5.29,100,Clear,"Dongsi, Beijing",China,2013,3,5,23
Residential District,236.0,187.0,5.11,100,Clear,"Dongsi, Beijing",China,2013,3,6,0
Residential District,245.0,173.0,4.95,95,Clear,"Dongsi, Beijing",China,2013,3,6,1
Residential District,176.0,172.0,6.05,95,Clear,"Dongsi, Beijing",China,2013,3,6,2
Residential District,168.0,169.0,6.54,93,Clear,"Dongsi, Beijing",China,2013,3,6,3
Residential District,155.0,163.0,6.86,91,Clear,"Dongsi, Beijing",China,2013,3,6,4
Residential District,152.0,172.0,7.01,90,Clear,"Dongsi, Beijing",China,2013,3,6,5
Residential District,154.0,163.0,6.9,95,Clear,"Dongsi, Beijing",China,2013,3,6,6
Residential District,190.0,156.0,6.2,93,Clear,"Dongsi, Beijing",China,2013,3,6,7
Residential District,193.0,134.0,6.1,81,Clear,"Dongsi, Beijing",China,2013,3,6,8
Residential District,185.0,129.0,6.19,83,Clear,"Dongsi, Beijing",China,2013,3,6,9
Residential District,138.0,124.0,7.32,80,Clear,"Dongsi, Beijing",China,2013,3,6,10
Residential District,177.0,130.0,6.61,83,Clear,"Dongsi, Beijing",China,2013,3,6,11
Residential District,182.0,138.0,6.26,89,Clear,"Dongsi, Beijing",China,2013,3,6,12
Residential District,198.0,149.0,5.79,93,Clear,"Dongsi, Beijing",China,2013,3,6,13
Residential District,221.0,157.0,5.3,96,Clear,"Dongsi, Beijing",China,2013,3,6,14
Residential District,240.0,162.0,5.02,100,Clear,"Dongsi, Beijing",China,2013,3,6,15
Residential District,245.0,164.0,4.95,100,Clear,"Dongsi, Beijing",China,2013,3,6,16
Residential District,239.0,185.0,4.98,100,Clear,"Dongsi, Beijing",China,2013,3,6,17
Residential District,240.0,185.0,4.88,100,Clear,"Dongsi, Beijing",China,2013,3,6,18
Residential District,245.0,183.0,4.73,100,Clear,"Dongsi, Beijing",China,2013,3,6,19
Residential District,244.0,178.0,4.72,100,Clear,"Dongsi, Beijing",China,2013,3,6,20
Residential District,247.0,173.0,4.69,100,Clear,"Dongsi, Beijing",China,2013,3,6,21
Residential District,248.0,167.0,4.74,100,Clear,"Dongsi, Beijing",China,2013,3,6,22
Residential District,246.0,163.0,4.77,100,Clear,"Dongsi, Beijing",China,2013,3,6,23
Residential District,251.0,158.0,4.75,100,Clear,"Dongsi, Beijing",China,2013,3,7,0
Residential District,245.0,156.0,4.85,100,Clear,"Dongsi, Beijing",China,2013,3,7,1
Residential District,253.0,151.0,4.75,100,Clear,"Dongsi, Beijing",China,2013,3,7,2
Residential District,250.0,144.0,4.82,98,Clear,"Dongsi, Beijing",China,2013,3,7,3
Residential District,242.0,144.0,4.93,98,Clear,"Dongsi, Beijing",China,2013,3,7,4
Residential District,242.0,139.0,4.95,96,Clear,"Dongsi, Beijing",China,2013,3,7,5
Residential District,242.0,144.0,4.97,98,Cold,"Dongsi, Beijing",China,2013,3,7,6
Residential District,261.0,165.0,4.67,100,Clear,"Dongsi, Beijing",China,2013,3,7,7
Residential District,292.0,174.0,4.25,100,Clear,"Dongsi, Beijing",China,2013,3,7,8
Residential District,300.0,181.0,4.07,100,Clear,"Dongsi, Beijing",China,2013,3,7,9
Residential District,289.0,180.0,4.27,100,Clear,"Dongsi, Beijing",China,2013,3,7,10
Residential District,260.0,219.0,4.69,100,Clear,"Dongsi, Beijing",China,2013,3,7,11
Residential District,288.0,254.0,4.21,100,Clear,"Dongsi, Beijing",China,2013,3,7,12
Residential District,312.0,202.0,4.1,100,Clear,"Dongsi, Beijing",China,2013,3,7,13
Residential District,295.0,150.0,4.34,100,Clear,"Dongsi, Beijing",China,2013,3,7,14
Residential District,308.0,133.0,4.11,94,Clear,"Dongsi, Beijing",China,2013,3,7,15
Residential District,243.0,97.0,4.72,66,Clear,"Dongsi, Beijing",China,2013,3,7,16
Residential District,214.0,102.0,5.63,68,Clear,"Dongsi, Beijing",China,2013,3,7,17
Residential District,206.0,127.0,5.66,77,Clear,"Dongsi, Beijing",China,2013,3,7,18
Residential District,193.0,171.0,5.95,90,Clear,"Dongsi, Beijing",China,2013,3,7,19
Residential District,184.0,221.0,5.68,100,Clear,"Dongsi, Beijing",China,2013,3,7,20
Residential District,258.0,257.0,4.24,100,Clear,"Dongsi, Beijing",China,2013,3,7,21
Residential District,438.0,258.0,2.75,100,Clear,"Dongsi, Beijing",China,2013,3,7,22
Residential District,520.0,249.0,2.49,100,Clear,"Dongsi, Beijing",China,2013,3,7,23
Residential District,488.0,241.0,2.71,100,Clear,"Dongsi, Beijing",China,2013,3,8,0
Residential District,450.0,232.0,2.99,100,Clear,"Dongsi, Beijing",China,2013,3,8,1
Residential District,362.0,226.0,3.45,100,Clear,"Dongsi, Beijing",China,2013,3,8,2
Residential District,322.0,216.0,3.82,100,Clear,"Dongsi, Beijing",China,2013,3,8,3
Residential District,308.0,189.0,4.03,100,Clear,"Dongsi, Beijing",China,2013,3,8,4
Residential District,296.0,184.0,4.18,100,Clear,"Dongsi, Beijing",China,2013,3,8,5
Residential District,123.0,196.0,8.47,100,Clear,"Dongsi, Beijing",China,2013,3,8,6
Residential District,3.0,190.0,27.52,100,Clear,"Dongsi, Beijing",China,2013,3,8,7
Residential District,3.0,200.0,9.2,100,Clear,"Dongsi, Beijing",China,2013,3,8,8
Residential District,311.0,199.0,3.83,100,Clear,"Dongsi, Beijing",China,2013,3,8,9
Residential District,260.0,191.34,5.39,67,Clear,"Dongsi, Beijing",China,2013,3,8,10
Residential District,200.0,188.0,5.96,100,Clear,"Dongsi, Beijing",China,2013,3,8,11
Residential District,108.0,120.0,9.32,70,Clear,"Dongsi, Beijing",China,2013,3,8,12
Residential District,159.0,113.0,6.51,68,Clear,"Dongsi, Beijing",China,2013,3,8,13
Residential District,203.0,129.0,3.77,90,Windy,"Dongsi, Beijing",China,2013,3,8,14
Residential District,284.0,138.0,3.72,96,Windy,"Dongsi, Beijing",China,2013,3,8,15
Residential District,163.0,106.0,5.96,68,Clear,"Dongsi, Beijing",China,2013,3,8,16
Residential District,111.0,84.0,8.77,49,Clear,"Dongsi, Beijing",China,2013,3,8,17
Residential District,52.0,64.0,12.77,40,Clear,"Dongsi, Beijing",China,2013,3,8,18
Residential District,88.0,82.0,10.03,48,Clear,"Dongsi, Beijing",China,2013,3,8,19
Residential District,58.0,89.0,13.04,51,Clear,"Dongsi, Beijing",China,2013,3,8,20
Residential District,57.0,85.0,12.66,51,Clear,"Dongsi, Beijing",China,2013,3,8,21
Residential District,87.0,96.0,13.04,59,Clear,"Dongsi, Beijing",China,2013,3,8,22
Residential District,48.0,84.0,14.93,57,Clear,"Dongsi, Beijing",China,2013,3,8,23
Residential District,50.0,104.0,13.7,73,Clear,"Dongsi, Beijing",China,2013,3,9,0
Residential District,58.0,79.0,12.77,67,Clear,"Dongsi, Beijing",China,2013,3,9,1
Residential District,64.0,76.0,11.67,66,Clear,"Dongsi, Beijing",China,2013,3,9,2
Residential District,74.0,89.0,11.03,47,Clear,"Dongsi, Beijing",China,2013,3,9,3
Residential District,81.0,110.0,10.38,84,Clear,"Dongsi, Beijing",China,2013,3,9,5
Residential District,104.0,125.0,9.49,92,Clear,"Dongsi, Beijing",China,2013,3,9,6
Residential District,113.0,118.0,8.62,80,Clear,"Dongsi, Beijing",China,2013,3,9,7
Residential District,110.0,116.0,8.57,79,Clear,"Dongsi, Beijing",China,2013,3,9,8
Residential District,114.0,110.0,8.06,72,Windy,"Dongsi, Beijing",China,2013,3,9,9
Residential District,151.0,105.0,4.87,71,Windy,"Dongsi, Beijing",China,2013,3,9,10
Residential District,94.0,48.0,4.0,31,Windy,"Dongsi, Beijing",China,2013,3,9,11
Residential District,77.0,23.0,11.41,17,Windy,"Dongsi, Beijing",China,2013,3,9,12
Residential District,43.0,19.0,4.11,14,Windy,"Dongsi, Beijing",China,2013,3,9,13
Residential District,42.0,17.0,4.03,13,Windy,"Dongsi, Beijing",China,2013,3,9,14
Residential District,38.0,17.0,4.74,13,Windy,"Dongsi, Beijing",China,2013,3,9,15
Residential District,22.0,18.0,7.54,13,Windy,"Dongsi, Beijing",China,2013,3,9,16
Residential District,17.0,18.0,9.87,13,Windy,"Dongsi, Beijing",China,2013,3,9,17
Residential District,23.0,18.0,11.28,13,Windy,"Dongsi, Beijing",China,2013,3,9,18
Residential District,13.0,19.0,14.49,15,Windy,"Dongsi, Beijing",China,2013,3,9,19
Residential District,13.0,18.0,12.05,15,Windy,"Dongsi, Beijing",China,2013,3,9,20
Residential District,12.0,19.0,16.85,15,Windy,"Dongsi, Beijing",China,2013,3,9,21
Residential District,9.0,20.0,20.83,16,Clear,"Dongsi, Beijing",China,2013,3,9,22
Residential District,9.0,22.0,24.79,16,Clear,"Dongsi, Beijing",China,2013,3,9,23
Residential District,13.0,29.0,23.26,20,Clear,"Dongsi, Beijing",China,2013,3,10,0
Residential District,3.0,40.0,26.55,24,Clear,"Dongsi, Beijing",China,2013,3,10,1
Residential District,3.0,44.0,26.09,25,Cold,"Dongsi, Beijing",China,2013,3,10,2
Residential District,13.0,60.0,22.73,33,Cold,"Dongsi, Beijing",China,2013,3,10,3
Residential District,3.0,64.0,24.39,36,Cold,"Dongsi, Beijing",China,2013,3,10,4
Residential District,18.0,69.0,17.65,41,Cold,"Dongsi, Beijing",China,2013,3,10,5
Residential District,22.0,81.0,17.75,65,Cold,"Dongsi, Beijing",China,2013,3,10,6
Residential District,29.0,80.0,17.34,53,Clear,"Dongsi, Beijing",China,2013,3,10,7
Residential District,29.0,81.0,17.24,45,Clear,"Dongsi, Beijing",China,2013,3,10,8
Residential District,29.0,51.0,15.71,34,Windy,"Dongsi, Beijing",China,2013,3,10,9
Residential District,25.0,41.0,16.95,31,Clear,"Dongsi, Beijing",China,2013,3,10,10
Residential District,31.0,32.0,14.22,28,Clear,"Dongsi, Beijing",China,2013,3,10,11
Residential District,28.0,31.0,16.67,24,Clear,"Dongsi, Beijing",China,2013,3,10,12
Residential District,35.0,31.0,16.3,24,Clear,"Dongsi, Beijing",China,2013,3,10,13
Residential District,35.0,29.0,15.79,22,Clear,"Dongsi, Beijing",China,2013,3,10,14
Residential District,42.0,28.0,13.82,22,Clear,"Dongsi, Beijing",China,2013,3,10,15
Residential District,40.0,30.0,14.15,22,Windy,"Dongsi, Beijing",China,2013,3,10,16
Residential District,45.0,36.0,12.1,24,Clear,"Dongsi, Beijing",China,2013,3,10,17
Residential District,50.0,43.0,11.63,28,Clear,"Dongsi, Beijing",China,2013,3,10,18
Residential District,60.0,51.0,11.54,32,Clear,"Dongsi, Beijing",China,2013,3,10,19
Residential District,74.0,75.0,9.87,43,Clear,"Dongsi, Beijing",China,2013,3,10,20
Residential District,78.0,84.0,10.07,49,Clear,"Dongsi, Beijing",China,2013,3,10,21
Residential District,81.0,88.0,9.38,59,Clear,"Dongsi, Beijing",China,2013,3,10,22
Residential District,86.0,79.0,9.4,51,Clear,"Dongsi, Beijing",China,2013,3,10,23
Residential District,92.0,63.0,8.96,41,Clear,"Dongsi, Beijing",China,2013,3,11,0
Residential District,103.0,74.0,8.36,49,Clear,"Dongsi, Beijing",China,2013,3,11,1
Residential District,104.0,79.0,8.77,51,Clear,"Dongsi, Beijing",China,2013,3,11,2
Residential District,105.0,71.0,8.62,47,Clear,"Dongsi, Beijing",China,2013,3,11,3
Residential District,104.0,78.0,8.85,49,Clear,"Dongsi, Beijing",China,2013,3,11,4
Residential District,106.0,76.0,8.65,50,Clear,"Dongsi, Beijing",China,2013,3,11,5
Residential District,99.0,77.0,9.29,49,Cold,"Dongsi, Beijing",China,2013,3,11,6
Residential District,83.0,83.0,10.42,59,Clear,"Dongsi, Beijing",China,2013,3,11,7
Residential District,98.0,86.0,9.32,55,Clear,"Dongsi, Beijing",China,2013,3,11,8
Residential District,102.0,81.0,9.12,51,Clear,"Dongsi, Beijing",China,2013,3,11,9
Residential District,118.0,83.0,8.26,54,Clear,"Dongsi, Beijing",China,2013,3,11,10
Residential District,119.0,83.0,8.22,46,Clear,"Dongsi, Beijing",China,2013,3,11,11
Residential District,3.0,85.0,28.3,61,Clear,"Dongsi, Beijing",China,2013,3,11,12
Residential District,89.0,86.0,8.96,46,Clear,"Dongsi, Beijing",China,2013,3,11,13
Residential District,121.0,68.0,8.13,37,Clear,"Dongsi, Beijing",China,2013,3,11,14
Residential District,106.0,65.0,9.04,37,Clear,"Dongsi, Beijing",China,2013,3,11,15
Residential District,114.0,76.0,8.2,42,Clear,"Dongsi, Beijing",China,2013,3,11,16
Residential District,140.0,89.0,6.83,57,Clear,"Dongsi, Beijing",China,2013,3,11,17
Residential District,141.0,86.0,6.77,48,Clear,"Dongsi, Beijing",China,2013,3,11,18
Residential District,150.0,88.0,6.67,49,Clear,"Dongsi, Beijing",China,2013,3,11,19
Residential District,165.0,112.0,6.13,60,Clear,"Dongsi, Beijing",China,2013,3,11,20
Residential District,178.0,116.0,5.92,63,Clear,"Dongsi, Beijing",China,2013,3,11,21
Residential District,136.0,107.0,6.88,56,Clear,"Dongsi, Beijing",China,2013,3,11,22
Residential District,103.0,83.0,8.77,44,Clear,"Dongsi, Beijing",China,2013,3,11,23
Residential District,98.0,89.0,8.98,46,Clear,"Dongsi, Beijing",China,2013,3,12,0
Residential District,115.0,97.0,7.87,53,Clear,"Dongsi, Beijing",China,2013,3,12,1
Residential District,125.0,89.0,7.71,52,Clear,"Dongsi, Beijing",China,2013,3,12,2
Residential District,120.0,84.0,8.22,47,Clear,"Dongsi, Beijing",China,2013,3,12,3
Residential District,113.0,82.0,8.47,47,Rainy,"Dongsi, Beijing",China,2013,3,12,4
Residential District,131.0,87.0,7.67,58,Rainy,"Dongsi, Beijing",China,2013,3,12,5
Residential District,133.0,91.0,7.98,64,Rainy,"Dongsi, Beijing",China,2013,3,12,6
Residential District,124.0,76.0,8.15,50,Rainy,"Dongsi, Beijing",China,2013,3,12,7
Residential District,116.0,76.0,9.74,48,Rainy,"Dongsi, Beijing",China,2013,3,12,8
Residential District,117.0,81.0,9.52,51,Rainy,"Dongsi, Beijing",China,2013,3,12,9
Residential District,110.0,90.0,9.2,58,Rainy,"Dongsi, Beijing",China,2013,3,12,10
Residential District,146.0,93.0,8.29,59,Rainy,"Dongsi, Beijing",China,2013,3,12,11
Residential District,158.0,93.0,7.85,60,Rainy,"Dongsi, Beijing",China,2013,3,12,12
Residential District,151.0,89.0,8.26,56,Clear,"Dongsi, Beijing",China,2013,3,12,13
Residential District,134.0,87.0,8.98,52,Clear,"Dongsi, Beijing",China,2013,3,12,14
Residential District,134.0,84.0,9.04,51,Clear,"Dongsi, Beijing",China,2013,3,12,15
Residential District,136.0,88.0,8.62,52,Rainy,"Dongsi, Beijing",China,2013,3,12,16
Residential District,138.0,86.0,8.67,53,Clear,"Dongsi, Beijing",China,2013,3,12,17
Residential District,123.0,99.0,8.6,56,Clear,"Dongsi, Beijing",China,2013,3,12,18
Residential District,123.0,104.0,8.65,59,Clear,"Dongsi, Beijing",China,2013,3,12,19
Residential District,140.0,98.0,8.22,57,Clear,"Dongsi, Beijing",China,2013,3,12,20
Residential District,133.0,92.0,8.57,57,Clear,"Dongsi, Beijing",China,2013,3,12,21
Residential District,123.0,95.0,8.6,64,Clear,"Dongsi, Beijing",China,2013,3,12,22
Residential District,101.0,83.0,9.15,49,Clear,"Dongsi, Beijing",China,2013,3,12,23
Residential District,38.0,45.0,19.61,22,Clear,"Dongsi, Beijing",China,2013,3,13,0
Residential District,16.0,25.0,22.06,27,Clear,"Dongsi, Beijing",China,2013,3,13,1
Residential District,3.0,19.0,27.52,25,Clear,"Dongsi, Beijing",China,2013,3,13,2
Residential District,3.0,19.0,27.52,25,Clear,"Dongsi, Beijing",China,2013,3,13,3
Residential District,3.0,19.0,27.27,14,Clear,"Dongsi, Beijing",China,2013,3,13,4
Residential District,9.0,28.0,25.21,18,Clear,"Dongsi, Beijing",China,2013,3,13,5
Residential District,12.0,35.0,23.81,22,Clear,"Dongsi, Beijing",China,2013,3,13,6
Residential District,11.0,59.0,22.9,31,Clear,"Dongsi, Beijing",China,2013,3,13,7
Residential District,18.0,57.0,20.13,31,Clear,"Dongsi, Beijing",China,2013,3,13,8
Residential District,15.0,43.0,20.69,25,Clear,"Dongsi, Beijing",China,2013,3,13,9
Residential District,16.0,32.0,21.13,20,Clear,"Dongsi, Beijing",China,2013,3,13,10
Residential District,12.0,25.0,23.44,17,Clear,"Dongsi, Beijing",China,2013,3,13,11
Residential District,9.0,23.0,24.0,17,Clear,"Dongsi, Beijing",China,2013,3,13,12
Residential District,16.0,20.0,24.59,16,Clear,"Dongsi, Beijing",China,2013,3,13,13
Residential District,13.0,22.0,21.9,15,Clear,"Dongsi, Beijing",China,2013,3,13,14
Residential District,9.0,22.0,24.59,15,Clear,"Dongsi, Beijing",China,2013,3,13,15
Residential District,11.0,22.0,23.62,15,Clear,"Dongsi, Beijing",China,2013,3,13,16
