district,pm25,nox,visibility,traffic,condition,city,country,year,month,day,hour
Industrial District,240.0,166.0,4.89,100,Clear,"Gucheng, Beijing",China,2013,3,8,6
Industrial District,250.0,170.0,4.67,100,Clear,"Gucheng, Beijing",China,2013,3,8,7
Industrial District,258.0,176.0,4.6,100,Clear,"Gucheng, Beijing",China,2013,3,8,8
Industrial District,260.0,175.0,4.43,100,Clear,"Gucheng, Beijing",China,2013,3,8,9
Industrial District,266.0,179.23,4.32,65,Clear,"Gucheng, Beijing",China,2013,3,8,10
Industrial District,233.0,145.0,5.04,93,Clear,"Gucheng, Beijing",China,2013,3,8,11
Industrial District,273.0,239.0,3.95,100,Clear,"Gucheng, Beijing",China,2013,3,8,12
Industrial District,222.0,122.0,5.08,74,Clear,"Gucheng, Beijing",China,2013,3,8,13
Industrial District,152.0,64.0,6.2,44,Windy,"Gucheng, Beijing",China,2013,3,8,14
Industrial District,179.0,90.0,4.42,67,Clear,"Gucheng, Beijing",China,2013,3,8,15
Industrial District,245.0,158.0,3.38,100,Clear,"Gucheng, Beijing",China,2013,3,8,16
Industrial District,169.0,115.0,5.29,70,Clear,"Gucheng, Beijing",China,2013,3,8,17
Industrial District,124.0,103.0,7.08,57,Clear,"Gucheng, Beijing",China,2013,3,8,18
Industrial District,95.0,85.0,9.74,46,Clear,"Gucheng, Beijing",China,2013,3,8,19
Industrial District,85.0,77.0,10.45,44,Clear,"Gucheng, Beijing",China,2013,3,8,20
Industrial District,95.0,97.0,9.26,52,Clear,"Gucheng, Beijing",China,2013,3,8,21
Industrial District,84.0,79.0,11.03,46,Clear,"Gucheng, Beijing",China,2013,3,8,22
Industrial District,95.0,117.0,9.93,61,Clear,"Gucheng, Beijing",China,2013,3,8,23
Industrial District,86.0,103.0,10.87,63,Clear,"Gucheng, Beijing",China,2013,3,9,0
Industrial District,54.0,72.0,13.27,55,Clear,"Gucheng, Beijing",China,2013,3,9,1
Industrial District,92.0,84.0,10.24,56,Clear,"Gucheng, Beijing",China,2013,3,9,2
Industrial District,91.0,93.0,10.42,47,Clear,"Gucheng, Beijing",China,2013,3,9,3
Industrial District,98.0,97.0,10.03,70,Clear,"Gucheng, Beijing",China,2013,3,9,5
Industrial District,96.0,100.0,9.55,71,Clear,"Gucheng, Beijing",China,2013,3,9,6
Industrial District,101.0,91.0,9.26,68,Clear,"Gucheng, Beijing",China,2013,3,9,7
Industrial District,106.0,92.0,9.09,65,Clear,"Gucheng, Beijing",China,2013,3,9,8
Industrial District,110.0,96.0,6.73,66,Windy,"Gucheng, Beijing",China,2013,3,9,9
Industrial District,86.0,15.0,2.65,14,Windy,"Gucheng, Beijing",China,2013,3,9,10
Industrial District,57.0,9.0,2.63,11,Windy,"Gucheng, Beijing",China,2013,3,9,11
Industrial District,87.0,8.0,10.45,10,Windy,"Gucheng, Beijing",China,2013,3,9,12
Industrial District,69.0,8.0,11.15,10,Windy,"Gucheng, Beijing",China,2013,3,9,13
Industrial District,51.0,6.0,2.71,10,Clear,"Gucheng, Beijing",China,2013,3,9,14
Industrial District,34.0,7.0,5.24,10,Clear,"Gucheng, Beijing",China,2013,3,9,15
Industrial District,20.0,8.0,8.38,12,Clear,"Gucheng, Beijing",China,2013,3,9,16
Industrial District,12.0,8.0,11.28,12,Clear,"Gucheng, Beijing",China,2013,3,9,17
Industrial District,12.0,12.0,13.45,13,Clear,"Gucheng, Beijing",China,2013,3,9,18
Industrial District,18.0,17.0,12.99,15,Clear,"Gucheng, Beijing",China,2013,3,9,19
Industrial District,15.0,15.0,15.15,14,Clear,"Gucheng, Beijing",China,2013,3,9,20
Industrial District,15.0,9.0,15.71,12,Clear,"Gucheng, Beijing",China,2013,3,9,21
Industrial District,11.0,7.0,18.99,12,Clear,"Gucheng, Beijing",China,2013,3,9,22
Industrial District,9.0,7.0,22.56,12,Clear,"Gucheng, Beijing",China,2013,3,9,23
Industrial District,3.0,7.0,27.03,12,Clear,"Gucheng, Beijing",China,2013,3,10,0
Industrial District,8.0,6.0,25.64,11,Clear,"Gucheng, Beijing",China,2013,3,10,1
Industrial District,3.0,12.0,27.27,13,Clear,"Gucheng, Beijing",China,2013,3,10,2
Industrial District,16.0,65.0,18.4,38,Clear,"Gucheng, Beijing",China,2013,3,10,3
Industrial District,31.0,85.0,15.87,46,Clear,"Gucheng, Beijing",China,2013,3,10,4
Industrial District,37.0,71.0,15.54,40,Clear,"Gucheng, Beijing",China,2013,3,10,5
Industrial District,29.0,81.0,15.54,45,Cold,"Gucheng, Beijing",China,2013,3,10,6
Industrial District,24.0,60.0,18.07,35,Clear,"Gucheng, Beijing",China,2013,3,10,7
Industrial District,26.0,64.0,15.79,38,Clear,"Gucheng, Beijing",China,2013,3,10,8
Industrial District,22.0,39.0,18.4,25,Clear,"Gucheng, Beijing",China,2013,3,10,9
Industrial District,21.0,25.0,17.05,22,Clear,"Gucheng, Beijing",China,2013,3,10,10
Industrial District,29.0,25.0,15.54,26,Clear,"Gucheng, Beijing",China,2013,3,10,11
Industrial District,35.0,24.0,15.23,22,Clear,"Gucheng, Beijing",China,2013,3,10,12
Industrial District,29.0,22.0,16.13,20,Clear,"Gucheng, Beijing",China,2013,3,10,13
Industrial District,35.0,20.0,15.46,19,Clear,"Gucheng, Beijing",China,2013,3,10,14
Industrial District,42.0,20.0,14.15,19,Clear,"Gucheng, Beijing",China,2013,3,10,15
Industrial District,45.0,22.0,13.22,20,Clear,"Gucheng, Beijing",China,2013,3,10,16
Industrial District,42.0,23.0,13.45,20,Clear,"Gucheng, Beijing",China,2013,3,10,17
Industrial District,54.0,35.0,11.41,25,Clear,"Gucheng, Beijing",China,2013,3,10,18
Industrial District,68.0,52.0,10.0,34,Clear,"Gucheng, Beijing",China,2013,3,10,19
Industrial District,85.0,65.0,9.2,40,Clear,"Gucheng, Beijing",China,2013,3,10,20
Industrial District,98.0,105.0,8.29,57,Clear,"Gucheng, Beijing",China,2013,3,10,21
Industrial District,106.0,107.0,7.94,58,Clear,"Gucheng, Beijing",China,2013,3,10,22
Industrial District,110.0,90.0,7.92,54,Clear,"Gucheng, Beijing",China,2013,3,10,23
Industrial District,125.0,79.0,7.33,49,Clear,"Gucheng, Beijing",China,2013,3,11,0
Industrial District,127.0,90.0,6.98,56,Clear,"Gucheng, Beijing",China,2013,3,11,1
Industrial District,128.0,98.0,6.8,62,Clear,"Gucheng, Beijing",China,2013,3,11,2
Industrial District,114.0,93.0,8.02,60,Cold,"Gucheng, Beijing",China,2013,3,11,3
Industrial District,80.0,88.0,10.17,62,Cold,"Gucheng, Beijing",China,2013,3,11,4
Industrial District,100.0,90.0,8.33,62,Cold,"Gucheng, Beijing",China,2013,3,11,5
Industrial District,82.0,86.0,9.9,71,Cold,"Gucheng, Beijing",China,2013,3,11,6
Industrial District,98.0,89.0,8.75,69,Clear,"Gucheng, Beijing",China,2013,3,11,7
Industrial District,100.0,94.0,8.31,78,Clear,"Gucheng, Beijing",China,2013,3,11,8
Industrial District,122.0,106.0,7.32,86,Clear,"Gucheng, Beijing",China,2013,3,11,9
Industrial District,123.0,111.0,7.48,77,Clear,"Gucheng, Beijing",China,2013,3,11,10
Industrial District,123.0,116.0,7.63,77,Clear,"Gucheng, Beijing",China,2013,3,11,11
Industrial District,134.0,127.0,7.21,81,Clear,"Gucheng, Beijing",China,2013,3,11,12
Industrial District,136.0,118.0,7.48,73,Clear,"Gucheng, Beijing",China,2013,3,11,13
Industrial District,124.0,74.0,7.83,48,Clear,"Gucheng, Beijing",China,2013,3,11,14
Industrial District,124.0,76.0,7.69,55,Clear,"Gucheng, Beijing",China,2013,3,11,15
Industrial District,141.0,92.0,7.06,61,Clear,"Gucheng, Beijing",China,2013,3,11,16
Industrial District,148.0,103.0,6.58,70,Clear,"Gucheng, Beijing",China,2013,3,11,17
Industrial District,170.0,118.0,5.83,83,Clear,"Gucheng, Beijing",China,2013,3,11,18
Industrial District,192.0,135.0,5.33,91,Clear,"Gucheng, Beijing",China,2013,3,11,19
Industrial District,197.0,140.0,5.23,91,Clear,"Gucheng, Beijing",China,2013,3,11,20
Industrial District,201.0,144.0,5.2,94,Clear,"Gucheng, Beijing",China,2013,3,11,21
Industrial District,204.0,144.0,5.03,94,Clear,"Gucheng, Beijing",China,2013,3,11,22
Industrial District,219.0,137.0,4.79,90,Clear,"Gucheng, Beijing",China,2013,3,11,23
Industrial District,167.0,113.0,5.88,71,Clear,"Gucheng, Beijing",China,2013,3,12,0
Industrial District,112.0,102.0,7.67,58,Clear,"Gucheng, Beijing",China,2013,3,12,1
Industrial District,113.0,102.0,8.04,60,Clear,"Gucheng, Beijing",China,2013,3,12,2
Industrial District,118.0,104.0,7.75,64,Rainy,"Gucheng, Beijing",China,2013,3,12,3
Industrial District,128.0,103.0,7.04,72,Rainy,"Gucheng, Beijing",China,2013,3,12,4
Industrial District,141.0,105.0,6.36,75,Rainy,"Gucheng, Beijing",China,2013,3,12,5
Industrial District,148.0,106.0,7.28,77,Rainy,"Gucheng, Beijing",China,2013,3,12,6
Industrial District,146.0,104.0,7.32,78,Rainy,"Gucheng, Beijing",China,2013,3,12,7
Industrial District,128.0,102.0,7.65,68,Rainy,"Gucheng, Beijing",China,2013,3,12,8
Industrial District,124.0,98.0,9.4,67,Clear,"Gucheng, Beijing",China,2013,3,12,9
Industrial District,132.0,98.0,9.15,70,Clear,"Gucheng, Beijing",China,2013,3,12,10
Industrial District,134.0,101.0,9.15,68,Clear,"Gucheng, Beijing",China,2013,3,12,11
Industrial District,136.0,101.0,8.85,69,Clear,"Gucheng, Beijing",China,2013,3,12,12
Industrial District,156.0,103.0,8.06,72,Clear,"Gucheng, Beijing",China,2013,3,12,13
Industrial District,152.0,96.0,8.33,66,Clear,"Gucheng, Beijing",China,2013,3,12,14
Industrial District,140.0,85.0,9.04,56,Clear,"Gucheng, Beijing",China,2013,3,12,15
Industrial District,150.0,91.0,8.22,63,Clear,"Gucheng, Beijing",China,2013,3,12,16
Industrial District,152.0,96.0,8.45,63,Clear,"Gucheng, Beijing",China,2013,3,12,17
Industrial District,125.0,100.0,8.4,66,Clear,"Gucheng, Beijing",China,2013,3,12,18
Industrial District,131.0,114.0,7.85,78,Clear,"Gucheng, Beijing",China,2013,3,12,19
Industrial District,139.0,118.0,7.54,83,Clear,"Gucheng, Beijing",China,2013,3,12,20
Industrial District,145.0,102.0,8.45,65,Clear,"Gucheng, Beijing",China,2013,3,12,21
Industrial District,128.0,96.0,9.06,64,Clear,"Gucheng, Beijing",China,2013,3,12,22
Industrial District,145.0,102.0,8.47,78,Clear,"Gucheng, Beijing",China,2013,3,12,23
Industrial District,88.0,85.0,10.87,59,Clear,"Gucheng, Beijing",China,2013,3,13,0
Industrial District,44.0,60.0,15.96,38,Clear,"Gucheng, Beijing",China,2013,3,13,1
Industrial District,14.0,20.0,23.44,17,Clear,"Gucheng, Beijing",China,2013,3,13,2
Industrial District,12.0,19.0,24.19,24,Clear,"Gucheng, Beijing",China,2013,3,13,3
Industrial District,12.0,19.0,14.15,14,Cold,"Gucheng, Beijing",China,2013,3,13,4
Industrial District,12.0,33.0,14.15,23,Cold,"Gucheng, Beijing",China,2013,3,13,5
Industrial District,14.0,49.0,14.02,31,Clear,"Gucheng, Beijing",China,2013,3,13,6
Industrial District,14.0,61.0,23.44,35,Clear,"Gucheng, Beijing",China,2013,3,13,7
Industrial District,18.0,62.0,19.48,39,Clear,"Gucheng, Beijing",China,2013,3,13,8
Industrial District,24.0,45.0,18.63,32,Clear,"Gucheng, Beijing",China,2013,3,13,9
Industrial District,15.0,23.0,23.08,23,Clear,"Gucheng, Beijing",China,2013,3,13,10
Industrial District,14.0,19.0,25.0,17,Clear,"Gucheng, Beijing",China,2013,3,13,11
Industrial District,3.0,20.0,26.79,17,Clear,"Gucheng, Beijing",China,2013,3,13,12
Industrial District,6.0,22.0,25.86,18,Clear,"Gucheng, Beijing",China,2013,3,13,13
Industrial District,18.0,18.0,24.19,15,Clear,"Gucheng, Beijing",China,2013,3,13,14
Industrial District,6.0,22.0,26.32,18,Clear,"Gucheng, Beijing",China,2013,3,13,15
Industrial District,12.0,30.0,23.44,21,Clear,"Gucheng, Beijing",China,2013,3,13,16
Industrial District,28.0,35.0,18.07,22,Clear,"Gucheng, Beijing",China,2013,3,13,17
Industrial District,38.0,44.0,15.87,27,Clear,"Gucheng, Beijing",China,2013,3,13,18
Industrial District,47.0,57.0,13.64,32,Clear,"Gucheng, Beijing",China,2013,3,13,19
Industrial District,57.0,80.0,12.71,43,Clear,"Gucheng, Beijing",China,2013,3,13,20
Industrial District,53.0,89.0,13.27,47,Clear,"Gucheng, Beijing",China,2013,3,13,21
Industrial District,70.0,105.0,11.03,56,Clear,"Gucheng, Beijing",China,2013,3,13,22
Industrial District,67.0,98.0,11.76,52,Clear,"Gucheng, Beijing",China,2013,3,13,23
Industrial District,69.0,79.0,11.45,48,Clear,"Gucheng, Beijing",China,2013,3,14,0
Industrial District,75.0,62.0,10.83,45,Clear,"Gucheng, Beijing",China,2013,3,14,1
Industrial District,80.0,70.0,11.19,51,Clear,"Gucheng, Beijing",China,2013,3,14,2
Industrial District,62.0,71.0,13.27,50,Clear,"Gucheng, Beijing",China,2013,3,14,3
Industrial District,71.0,73.0,13.27,47,Cold,"Gucheng, Beijing",China,2013,3,14,4
Industrial District,54.0,72.0,13.82,45,Clear,"Gucheng, Beijing",China,2013,3,14,5
Industrial District,64.0,71.0,13.89,45,Cold,"Gucheng, Beijing",China,2013,3,14,6
Industrial District,76.0,80.0,10.91,67,Clear,"Gucheng, Beijing",China,2013,3,14,7
Industrial District,86.0,81.0,10.83,68,Clear,"Gucheng, Beijing",China,2013,3,14,8
Industrial District,91.0,79.0,10.45,62,Clear,"Gucheng, Beijing",China,2013,3,14,9
Industrial District,76.0,72.0,11.19,57,Clear,"Gucheng, Beijing",China,2013,3,14,10
Industrial District,82.0,73.0,10.79,54,Clear,"Gucheng, Beijing",China,2013,3,14,11
Industrial District,113.0,81.0,9.12,55,Clear,"Gucheng, Beijing",China,2013,3,14,12
Industrial District,98.0,74.0,9.49,48,Clear,"Gucheng, Beijing",China,2013,3,14,13
Industrial District,90.0,52.0,10.24,36,Clear,"Gucheng, Beijing",China,2013,3,14,14
Industrial District,84.0,52.0,10.68,37,Clear,"Gucheng, Beijing",China,2013,3,14,15
Industrial District,108.0,58.0,9.4,39,Clear,"Gucheng, Beijing",China,2013,3,14,16
Industrial District,117.0,71.0,8.67,47,Clear,"Gucheng, Beijing",China,2013,3,14,17
Industrial District,135.0,82.0,7.67,53,Clear,"Gucheng, Beijing",China,2013,3,14,18
Industrial District,149.0,101.0,7.06,63,Clear,"Gucheng, Beijing",China,2013,3,14,19
Industrial District,148.0,116.0,7.25,67,Clear,"Gucheng, Beijing",China,2013,3,14,20
Industrial District,147.0,118.0,7.01,71,Clear,"Gucheng, Beijing",China,2013,3,14,21
Industrial District,166.0,120.0,6.38,77,Clear,"Gucheng, Beijing",China,2013,3,14,22
Industrial District,173.0,120.0,6.06,79,Clear,"Gucheng, Beijing",China,2013,3,14,23
Industrial District,184.0,111.0,5.95,81,Clear,"Gucheng, Beijing",China,2013,3,15,0
Industrial District,188.0,105.0,6.01,85,Clear,"Gucheng, Beijing",China,2013,3,15,1
Industrial District,159.0,96.0,6.9,77,Clear,"Gucheng, Beijing",China,2013,3,15,2
Industrial District,142.0,106.0,7.41,79,Clear,"Gucheng, Beijing",China,2013,3,15,3
Industrial District,145.0,114.0,7.32,85,Cold,"Gucheng, Beijing",China,2013,3,15,4
Industrial District,141.0,103.0,7.48,83,Cold,"Gucheng, Beijing",China,2013,3,15,5
Industrial District,140.0,98.0,7.71,83,Cold,"Gucheng, Beijing",China,2013,3,15,6
Industrial District,149.0,92.0,7.09,81,Clear,"Gucheng, Beijing",China,2013,3,15,7
Industrial District,160.0,95.0,7.01,82,Clear,"Gucheng, Beijing",China,2013,3,15,8
Industrial District,167.0,93.0,6.9,72,Clear,"Gucheng, Beijing",China,2013,3,15,9
Industrial District,168.0,94.0,6.86,80,Clear,"Gucheng, Beijing",China,2013,3,15,10
Industrial District,158.0,107.0,7.08,70,Clear,"Gucheng, Beijing",China,2013,3,15,11
Industrial District,163.0,112.0,6.54,71,Clear,"Gucheng, Beijing",China,2013,3,15,12
Industrial District,184.0,133.0,5.99,81,Clear,"Gucheng, Beijing",China,2013,3,15,13
Industrial District,234.0,148.0,5.28,87,Clear,"Gucheng, Beijing",China,2013,3,15,14
Industrial District,273.0,171.0,4.48,91,Clear,"Gucheng, Beijing",China,2013,3,15,15
Industrial District,289.0,141.0,4.32,84,Clear,"Gucheng, Beijing",China,2013,3,15,16
Industrial District,290.0,121.0,4.32,76,Clear,"Gucheng, Beijing",China,2013,3,15,17
Industrial District,302.0,138.0,4.16,83,Clear,"Gucheng, Beijing",China,2013,3,15,18
Industrial District,304.0,130.0,4.1,80,Clear,"Gucheng, Beijing",China,2013,3,15,19
Industrial District,336.0,148.0,3.75,89,Clear,"Gucheng, Beijing",China,2013,3,15,20
Industrial District,334.0,152.0,3.77,93,Clear,"Gucheng, Beijing",China,2013,3,15,21
Industrial District,340.0,151.0,3.69,100,Clear,"Gucheng, Beijing",China,2013,3,15,22
