district,pm25,nox,visibility,traffic,condition,city,country,year,month,day,hour
Green District,166.0,66.0,7.16,53,Clear,"Dingling, Beijing",China,2013,3,6,0
Green District,173.0,58.0,7.03,46,Clear,"Dingling, Beijing",China,2013,3,6,1
Green District,161.0,61.0,7.48,48,Clear,"Dingling, Beijing",China,2013,3,6,2
Green District,161.0,68.0,7.43,51,Clear,"Dingling, Beijing",China,2013,3,6,3
Green District,163.0,69.0,7.26,51,Clear,"Dingling, Beijing",China,2013,3,6,4
Green District,166.0,62.0,7.13,49,Clear,"Dingling, Beijing",China,2013,3,6,5
Green District,172.0,55.0,6.88,46,Clear,"Dingling, Beijing",China,2013,3,6,6
Green District,176.0,61.0,6.68,50,Clear,"Dingling, Beijing",China,2013,3,6,7
Green District,183.0,61.0,6.51,50,Clear,"Dingling, Beijing",China,2013,3,6,8
Green District,195.0,66.0,6.05,55,Clear,"Dingling, Beijing",China,2013,3,6,9
Green District,200.0,71.0,5.93,58,Clear,"Dingling, Beijing",China,2013,3,6,10
Green District,217.0,106.0,5.61,77,Clear,"Dingling, Beijing",China,2013,3,6,11
Green District,268.0,116.0,4.64,81,Clear,"Dingling, Beijing",China,2013,3,6,12
Green District,258.0,100.0,4.75,69,Clear,"Dingling, Beijing",China,2013,3,6,13
Green District,221.0,82.0,5.58,58,Clear,"Dingling, Beijing",China,2013,3,6,14
Green District,195.0,139.0,5.8,96,Clear,"Dingling, Beijing",China,2013,3,6,15
Green District,294.0,139.0,4.03,91,Clear,"Dingling, Beijing",China,2013,3,6,16
Green District,288.0,118.0,4.18,80,Clear,"Dingling, Beijing",China,2013,3,6,17
Green District,267.0,116.0,4.58,77,Clear,"Dingling, Beijing",China,2013,3,6,18
Green District,269.0,139.0,4.67,88,Clear,"Dingling, Beijing",China,2013,3,6,19
Green District,280.0,141.0,4.52,97,Clear,"Dingling, Beijing",China,2013,3,6,20
Green District,306.0,144.0,4.15,98,Clear,"Dingling, Beijing",China,2013,3,6,21
Green District,284.0,140.0,4.48,91,Clear,"Dingling, Beijing",China,2013,3,6,22
Green District,236.0,134.0,5.16,86,Clear,"Dingling, Beijing",China,2013,3,6,23
Green District,223.0,134.0,5.44,83,Clear,"Dingling, Beijing",China,2013,3,7,0
Green District,196.0,114.0,6.09,70,Clear,"Dingling, Beijing",China,2013,3,7,1
Green District,150.0,74.0,7.52,48,Clear,"Dingling, Beijing",China,2013,3,7,2
Green District,91.0,46.0,10.87,27,Clear,"Dingling, Beijing",China,2013,3,7,3
Green District,50.0,26.0,15.79,19,Clear,"Dingling, Beijing",China,2013,3,7,5
Green District,26.0,26.0,21.58,18,Clear,"Dingling, Beijing",China,2013,3,7,6
Green District,19.0,31.0,22.73,23,Clear,"Dingling, Beijing",China,2013,3,7,7
Green District,33.0,28.0,18.52,22,Clear,"Dingling, Beijing",China,2013,3,7,8
Green District,28.0,34.0,17.96,28,Clear,"Dingling, Beijing",China,2013,3,7,9
Green District,47.0,102.0,13.57,74,Clear,"Dingling, Beijing",China,2013,3,7,10
Green District,134.0,157.0,6.85,100,Clear,"Dingling, Beijing",China,2013,3,7,11
Green District,224.0,98.0,4.85,65,Clear,"Dingling, Beijing",China,2013,3,7,12
Green District,153.0,44.0,7.26,32,Clear,"Dingling, Beijing",China,2013,3,7,13
Green District,74.0,43.0,13.27,31,Clear,"Dingling, Beijing",China,2013,3,7,14
Green District,75.0,128.0,11.63,73,Clear,"Dingling, Beijing",China,2013,3,7,15
Green District,149.0,182.0,6.96,91,Clear,"Dingling, Beijing",China,2013,3,7,16
Green District,223.0,180.0,5.15,95,Clear,"Dingling, Beijing",China,2013,3,7,17
Green District,258.0,156.0,4.69,91,Clear,"Dingling, Beijing",China,2013,3,7,18
Green District,244.0,172.0,4.92,95,Clear,"Dingling, Beijing",China,2013,3,7,19
Green District,253.0,147.0,4.7,90,Clear,"Dingling, Beijing",China,2013,3,7,20
Green District,240.0,126.0,5.14,84,Clear,"Dingling, Beijing",China,2013,3,7,21
Green District,224.0,105.0,5.45,72,Clear,"Dingling, Beijing",China,2013,3,7,22
Green District,219.0,87.0,5.75,63,Clear,"Dingling, Beijing",China,2013,3,7,23
Green District,189.0,72.0,6.28,57,Clear,"Dingling, Beijing",China,2013,3,8,0
Green District,248.0,60.0,5.58,50,Clear,"Dingling, Beijing",China,2013,3,8,1
Green District,167.0,84.0,6.68,56,Clear,"Dingling, Beijing",China,2013,3,8,2
Green District,137.0,76.0,7.48,56,Clear,"Dingling, Beijing",China,2013,3,8,3
Green District,133.0,34.0,7.92,25,Windy,"Dingling, Beijing",China,2013,3,8,4
Green District,79.0,7.0,10.75,10,Clear,"Dingling, Beijing",China,2013,3,8,5
Green District,41.0,9.0,9.97,11,Clear,"Dingling, Beijing",China,2013,3,8,6
Green District,37.0,10.0,11.28,11,Clear,"Dingling, Beijing",China,2013,3,8,7
Green District,38.0,26.0,10.91,18,Clear,"Dingling, Beijing",China,2013,3,8,8
Green District,48.0,30.0,10.1,24,Clear,"Dingling, Beijing",China,2013,3,8,9
Green District,122.0,50.09,7.56,29,Clear,"Dingling, Beijing",China,2013,3,8,10
Green District,166.0,85.0,5.52,58,Clear,"Dingling, Beijing",China,2013,3,8,11
Green District,108.0,48.0,7.89,33,Clear,"Dingling, Beijing",China,2013,3,8,12
Green District,111.0,50.0,7.09,35,Clear,"Dingling, Beijing",China,2013,3,8,13
Green District,146.0,91.0,6.17,55,Windy,"Dingling, Beijing",China,2013,3,8,14
Green District,410.0,142.0,2.63,97,Clear,"Dingling, Beijing",China,2013,3,8,15
Green District,405.0,126.0,2.76,92,Clear,"Dingling, Beijing",China,2013,3,8,16
Green District,190.0,74.0,4.99,61,Clear,"Dingling, Beijing",China,2013,3,8,17
Green District,173.0,57.0,5.8,47,Clear,"Dingling, Beijing",China,2013,3,8,18
Green District,118.0,46.0,6.91,39,Clear,"Dingling, Beijing",China,2013,3,8,19
Green District,120.0,50.0,7.35,37,Clear,"Dingling, Beijing",China,2013,3,8,20
Green District,113.0,46.0,8.13,37,Clear,"Dingling, Beijing",China,2013,3,8,21
Green District,104.0,42.0,8.88,36,Clear,"Dingling, Beijing",China,2013,3,8,22
Green District,105.0,47.0,9.12,39,Clear,"Dingling, Beijing",China,2013,3,8,23
Green District,108.0,55.0,9.06,42,Clear,"Dingling, Beijing",China,2013,3,9,0
Green District,111.0,48.0,8.43,39,Clear,"Dingling, Beijing",China,2013,3,9,1
Green District,110.0,50.0,8.7,40,Clear,"Dingling, Beijing",China,2013,3,9,2
Green District,194.0,45.0,7.25,37,Clear,"Dingling, Beijing",China,2013,3,9,3
Green District,101.0,40.0,9.58,35,Clear,"Dingling, Beijing",China,2013,3,9,4
Green District,106.0,34.0,9.55,33,Clear,"Dingling, Beijing",China,2013,3,9,5
Green District,54.0,28.0,11.72,31,Clear,"Dingling, Beijing",China,2013,3,9,6
Green District,99.0,28.0,9.8,33,Clear,"Dingling, Beijing",China,2013,3,9,7
Green District,118.0,36.0,7.14,37,Clear,"Dingling, Beijing",China,2013,3,9,8
Green District,165.0,49.0,3.43,41,Windy,"Dingling, Beijing",China,2013,3,9,9
Green District,72.0,13.0,5.99,15,Windy,"Dingling, Beijing",China,2013,3,9,10
Green District,3.0,2.0,25.64,7,Clear,"Dingling, Beijing",China,2013,3,9,23
Green District,7.0,3.0,25.0,7,Clear,"Dingling, Beijing",China,2013,3,10,0
Green District,12.0,8.0,23.81,9,Clear,"Dingling, Beijing",China,2013,3,10,1
Green District,13.0,9.0,25.0,9,Clear,"Dingling, Beijing",China,2013,3,10,2
Green District,10.0,8.0,26.09,9,Clear,"Dingling, Beijing",China,2013,3,10,3
Green District,13.0,8.0,25.64,10,Clear,"Dingling, Beijing",China,2013,3,10,4
Green District,8.0,8.0,25.86,10,Clear,"Dingling, Beijing",China,2013,3,10,5
Green District,10.0,10.0,25.64,11,Clear,"Dingling, Beijing",China,2013,3,10,6
Green District,8.0,10.0,25.86,11,Clear,"Dingling, Beijing",China,2013,3,10,7
Green District,11.0,11.0,23.26,11,Clear,"Dingling, Beijing",China,2013,3,10,8
Green District,18.0,13.0,21.9,14,Clear,"Dingling, Beijing",China,2013,3,10,9
Green District,7.0,7.0,17.86,10,Clear,"Dingling, Beijing",China,2013,3,10,10
Green District,12.0,6.0,17.34,10,Clear,"Dingling, Beijing",China,2013,3,10,11
Green District,16.0,13.0,21.43,12,Clear,"Dingling, Beijing",China,2013,3,10,12
Green District,16.0,15.0,21.58,14,Clear,"Dingling, Beijing",China,2013,3,10,13
Green District,21.0,17.0,18.75,15,Clear,"Dingling, Beijing",China,2013,3,10,14
Green District,30.0,17.0,17.96,15,Windy,"Dingling, Beijing",China,2013,3,10,15
Green District,33.0,21.0,15.38,16,Clear,"Dingling, Beijing",China,2013,3,10,16
Green District,37.0,22.0,14.02,16,Clear,"Dingling, Beijing",China,2013,3,10,17
Green District,42.0,26.0,12.88,18,Clear,"Dingling, Beijing",China,2013,3,10,18
Green District,53.0,32.0,12.3,23,Clear,"Dingling, Beijing",China,2013,3,10,19
Green District,61.0,27.0,11.9,21,Clear,"Dingling, Beijing",China,2013,3,10,20
Green District,56.0,25.0,12.82,21,Clear,"Dingling, Beijing",China,2013,3,10,21
Green District,62.0,27.0,12.0,21,Clear,"Dingling, Beijing",China,2013,3,10,22
Green District,63.0,29.0,11.9,24,Clear,"Dingling, Beijing",China,2013,3,10,23
Green District,68.0,36.0,11.67,27,Clear,"Dingling, Beijing",China,2013,3,11,0
Green District,68.0,36.0,11.67,29,Clear,"Dingling, Beijing",China,2013,3,11,1
Green District,69.0,32.0,11.67,26,Clear,"Dingling, Beijing",China,2013,3,11,2
Green District,75.0,34.0,11.63,23,Cold,"Dingling, Beijing",China,2013,3,11,3
Green District,79.0,34.0,10.75,28,Cold,"Dingling, Beijing",China,2013,3,11,4
Green District,83.0,39.0,10.71,32,Cold,"Dingling, Beijing",China,2013,3,11,5
Green District,85.0,42.0,10.75,31,Cold,"Dingling, Beijing",China,2013,3,11,6
Green District,80.0,48.0,10.71,33,Cold,"Dingling, Beijing",China,2013,3,11,7
Green District,89.0,50.0,9.84,35,Clear,"Dingling, Beijing",China,2013,3,11,8
Green District,107.0,54.0,8.62,38,Clear,"Dingling, Beijing",China,2013,3,11,9
Green District,108.0,66.0,8.5,42,Clear,"Dingling, Beijing",China,2013,3,11,10
Green District,112.0,68.0,8.24,44,Clear,"Dingling, Beijing",China,2013,3,11,11
Green District,113.0,68.0,8.2,34,Clear,"Dingling, Beijing",China,2013,3,11,12
Green District,132.0,66.0,7.69,45,Clear,"Dingling, Beijing",China,2013,3,11,13
Green District,130.0,83.0,7.44,52,Clear,"Dingling, Beijing",China,2013,3,11,14
Green District,148.0,103.0,6.93,62,Clear,"Dingling, Beijing",China,2013,3,11,15
Green District,149.0,108.0,6.93,62,Clear,"Dingling, Beijing",China,2013,3,11,16
Green District,152.0,108.0,6.96,60,Clear,"Dingling, Beijing",China,2013,3,11,17
Green District,149.0,98.0,6.65,58,Clear,"Dingling, Beijing",China,2013,3,11,18
Green District,152.0,103.0,6.56,63,Clear,"Dingling, Beijing",China,2013,3,11,19
Green District,166.0,102.0,6.15,66,Clear,"Dingling, Beijing",China,2013,3,11,20
Green District,175.0,93.0,6.04,63,Clear,"Dingling, Beijing",China,2013,3,11,21
Green District,173.0,83.0,6.12,60,Clear,"Dingling, Beijing",China,2013,3,11,22
Green District,163.0,80.0,6.34,56,Clear,"Dingling, Beijing",China,2013,3,11,23
Green District,156.0,76.0,6.77,51,Clear,"Dingling, Beijing",China,2013,3,12,0
Green District,150.0,83.0,6.74,54,Clear,"Dingling, Beijing",China,2013,3,12,1
Green District,150.0,80.0,6.9,51,Clear,"Dingling, Beijing",China,2013,3,12,2
Green District,134.0,74.0,7.32,48,Clear,"Dingling, Beijing",China,2013,3,12,3
Green District,127.0,68.0,7.59,46,Clear,"Dingling, Beijing",China,2013,3,12,4
Green District,135.0,75.0,7.39,50,Rainy,"Dingling, Beijing",China,2013,3,12,5
Green District,128.0,80.0,7.25,53,Rainy,"Dingling, Beijing",China,2013,3,12,6
Green District,123.0,88.0,8.31,59,Rainy,"Dingling, Beijing",China,2013,3,12,7
Green District,121.0,76.0,8.36,51,Rainy,"Dingling, Beijing",China,2013,3,12,8
Green District,116.0,66.0,9.97,47,Clear,"Dingling, Beijing",China,2013,3,12,9
Green District,114.0,59.0,10.17,43,Clear,"Dingling, Beijing",China,2013,3,12,10
Green District,132.0,73.0,8.88,54,Clear,"Dingling, Beijing",China,2013,3,12,11
Green District,145.0,77.0,8.02,57,Clear,"Dingling, Beijing",China,2013,3,12,12
Green District,158.0,81.0,7.46,58,Clear,"Dingling, Beijing",China,2013,3,12,13
Green District,172.0,80.0,7.23,58,Clear,"Dingling, Beijing",China,2013,3,12,14
Green District,176.0,78.0,7.08,57,Clear,"Dingling, Beijing",China,2013,3,12,15
Green District,171.0,71.0,7.23,56,Clear,"Dingling, Beijing",China,2013,3,12,16
Green District,213.0,98.0,6.07,72,Clear,"Dingling, Beijing",China,2013,3,12,17
Green District,221.0,102.0,5.94,73,Clear,"Dingling, Beijing",China,2013,3,12,18
Green District,211.0,94.0,6.06,72,Clear,"Dingling, Beijing",China,2013,3,12,19
Green District,186.0,83.0,7.13,67,Clear,"Dingling, Beijing",China,2013,3,12,20
Green District,59.0,28.0,13.76,25,Clear,"Dingling, Beijing",China,2013,3,12,21
Green District,6.0,2.0,26.79,7,Clear,"Dingling, Beijing",China,2013,3,12,22
Green District,10.0,2.0,25.0,7,Clear,"Dingling, Beijing",China,2013,3,12,23
Green District,3.0,2.0,28.3,7,Clear,"Dingling, Beijing",China,2013,3,13,0
Green District,7.0,2.0,26.32,7,Clear,"Dingling, Beijing",China,2013,3,13,1
Green District,9.0,3.0,25.42,7,Clear,"Dingling, Beijing",China,2013,3,13,2
Green District,3.0,6.0,28.3,8,Clear,"Dingling, Beijing",China,2013,3,13,3
Green District,3.0,6.0,28.3,10,Clear,"Dingling, Beijing",China,2013,3,13,4
Green District,12.0,11.0,25.42,10,Clear,"Dingling, Beijing",China,2013,3,13,5
Green District,9.0,13.0,26.79,12,Clear,"Dingling, Beijing",China,2013,3,13,6
Green District,3.0,8.0,28.3,9,Clear,"Dingling, Beijing",China,2013,3,13,7
Green District,3.0,2.0,28.3,7,Clear,"Dingling, Beijing",China,2013,3,13,8
Green District,3.0,2.0,27.52,13,Clear,"Dingling, Beijing",China,2013,3,13,12
Green District,3.0,8.0,18.63,9,Windy,"Dingling, Beijing",China,2013,3,13,13
Green District,13.0,6.0,21.28,8,Clear,"Dingling, Beijing",China,2013,3,13,14
Green District,8.0,6.0,24.0,8,Clear,"Dingling, Beijing",China,2013,3,13,15
Green District,12.0,6.0,23.81,8,Clear,"Dingling, Beijing",China,2013,3,13,16
Green District,15.0,8.0,22.56,9,Clear,"Dingling, Beijing",China,2013,3,13,17
Green District,18.0,14.0,20.41,12,Clear,"Dingling, Beijing",China,2013,3,13,18
Green District,22.0,20.0,19.61,14,Clear,"Dingling, Beijing",China,2013,3,13,19
Green District,27.0,22.0,19.35,16,Clear,"Dingling, Beijing",China,2013,3,13,20
Green District,7.0,18.0,23.08,13,Clear,"Dingling, Beijing",China,2013,3,13,21
Green District,25.0,24.0,19.87,19,Clear,"Dingling, Beijing",China,2013,3,13,22
Green District,35.0,29.0,18.63,22,Clear,"Dingling, Beijing",China,2013,3,13,23
Green District,41.0,37.0,16.39,28,Clear,"Dingling, Beijing",China,2013,3,14,0
Green District,44.0,38.0,16.22,26,Clear,"Dingling, Beijing",China,2013,3,14,1
Green District,44.0,39.0,15.87,27,Clear,"Dingling, Beijing",China,2013,3,14,2
Green District,47.0,50.0,14.93,32,Clear,"Dingling, Beijing",China,2013,3,14,3
Green District,67.0,66.0,12.24,43,Cold,"Dingling, Beijing",China,2013,3,14,4
Green District,74.0,66.0,11.76,47,Cold,"Dingling, Beijing",China,2013,3,14,5
Green District,73.0,65.0,11.76,46,Cold,"Dingling, Beijing",China,2013,3,14,6
Green District,72.0,70.0,11.67,50,Cold,"Dingling, Beijing",China,2013,3,14,7
Green District,83.0,70.0,10.68,51,Clear,"Dingling, Beijing",China,2013,3,14,8
Green District,95.0,67.0,9.77,50,Clear,"Dingling, Beijing",China,2013,3,14,9
Green District,104.0,49.0,9.49,41,Clear,"Dingling, Beijing",China,2013,3,14,10
Green District,132.0,46.0,8.38,40,Clear,"Dingling, Beijing",China,2013,3,14,11
Green District,140.0,59.0,8.04,46,Clear,"Dingling, Beijing",China,2013,3,14,12
Green District,130.0,52.0,8.4,41,Clear,"Dingling, Beijing",China,2013,3,14,13
Green District,136.0,53.0,8.47,41,Clear,"Dingling, Beijing",China,2013,3,14,14
Green District,146.0,75.0,7.85,50,Clear,"Dingling, Beijing",China,2013,3,14,15
Green District,151.0,91.0,7.5,55,Clear,"Dingling, Beijing",China,2013,3,14,16
Green District,146.0,83.0,7.67,49,Clear,"Dingling, Beijing",China,2013,3,14,17
Green District,142.0,83.0,7.85,49,Clear,"Dingling, Beijing",China,2013,3,14,18
Green District,137.0,80.0,8.24,48,Clear,"Dingling, Beijing",China,2013,3,14,19
Green District,138.0,78.0,8.22,47,Clear,"Dingling, Beijing",China,2013,3,14,20
Green District,153.0,78.0,7.69,49,Clear,"Dingling, Beijing",China,2013,3,14,21
Green District,150.0,75.0,7.69,48,Clear,"Dingling, Beijing",China,2013,3,14,22
Green District,143.0,79.0,7.98,49,Clear,"Dingling, Beijing",China,2013,3,14,23
Green District,150.0,76.0,7.79,48,Clear,"Dingling, Beijing",China,2013,3,15,0
Green District,149.0,72.0,7.83,47,Clear,"Dingling, Beijing",China,2013,3,15,1
Green District,154.0,70.0,7.65,50,Clear,"Dingling, Beijing",China,2013,3,15,2
Green District,148.0,70.0,7.77,35,Cold,"Dingling, Beijing",China,2013,3,15,3
Green District,148.0,68.0,8.0,46,Cold,"Dingling, Beijing",China,2013,3,15,5
Green District,148.0,71.0,8.0,47,Cold,"Dingling, Beijing",China,2013,3,15,6
Green District,150.0,68.0,7.94,46,Clear,"Dingling, Beijing",China,2013,3,15,7
Green District,174.0,58.0,7.09,44,Clear,"Dingling, Beijing",China,2013,3,15,8
Green District,174.0,53.0,7.03,43,Clear,"Dingling, Beijing",China,2013,3,15,9
Green District,175.0,54.0,7.01,45,Clear,"Dingling, Beijing",China,2013,3,15,10
Green District,215.0,78.0,5.7,54,Clear,"Dingling, Beijing",China,2013,3,15,11
Green District,212.0,90.0,5.63,59,Clear,"Dingling, Beijing",China,2013,3,15,12
Green District,213.0,91.0,5.62,58,Clear,"Dingling, Beijing",China,2013,3,15,13
Green District,221.0,74.0,5.64,51,Clear,"Dingling, Beijing",China,2013,3,15,14
Green District,223.0,71.0,5.62,50,Clear,"Dingling, Beijing",China,2013,3,15,15
Green District,237.0,83.0,5.33,54,Clear,"Dingling, Beijing",China,2013,3,15,16
Green District,254.0,99.0,4.95,62,Clear,"Dingling, Beijing",China,2013,3,15,17
Green District,262.0,108.0,4.85,65,Clear,"Dingling, Beijing",China,2013,3,15,18
Green District,260.0,98.0,4.87,62,Clear,"Dingling, Beijing",China,2013,3,15,19
Green District,261.0,96.0,4.98,63,Clear,"Dingling, Beijing",China,2013,3,15,20
Green District,270.0,92.0,4.87,65,Clear,"Dingling, Beijing",China,2013,3,15,21
Green District,262.0,91.0,4.99,64,Clear,"Dingling, Beijing",China,2013,3,15,22
